codgeo,dep,reg,weight_dep,weight_reg,weight_fr
02207,02,32.0,37,3,2
02208,02,32.0,27,2,1
02209,02,32.0,135,11,9
02210,02,32.0,53,4,3
02211,02,32.0,55,4,4
02212,02,32.0,136,11,10
02213,02,32.0,36,3,2
02214,02,32.0,11,1,0
02215,02,32.0,129,11,9
02216,02,32.0,59,5,4
02217,02,32.0,194,16,14
02218,02,32.0,87,7,6
02219,02,32.0,44,3,3
02220,02,32.0,81,7,5
02221,02,32.0,10,0,0
02222,02,32.0,6,0,0
02223,02,32.0,42,3,3
02224,02,32.0,71,6,5
02225,02,32.0,14,1,1
02226,02,32.0,333,28,24
02227,02,32.0,23,2,1
02228,02,32.0,64,5,4
02229,02,32.0,2,0,0
02230,02,32.0,16,1,1
02231,02,32.0,147,12,10
02232,02,32.0,35,3,2
02233,02,32.0,9,0,0
02234,02,32.0,15,1,1
02235,02,32.0,21,1,1
02236,02,32.0,51,4,3
02237,02,32.0,278,23,20
02238,02,32.0,365,31,26
02239,02,32.0,214,18,15
02240,02,32.0,44,3,3
02241,02,32.0,19,1,1
02242,02,32.0,90,7,6
02243,02,32.0,577,49,42
02244,02,32.0,12,1,0
02245,02,32.0,340,29,24
02246,02,32.0,87,7,6
02248,02,32.0,26,2,1
02249,02,32.0,18,1,1
02250,02,32.0,2,0,0
02251,02,32.0,0,0,0
02252,02,32.0,12,1,0
02253,02,32.0,39,3,2
02254,02,32.0,8,0,0
02255,02,32.0,8,0,0
02256,02,32.0,25,2,1
02257,02,32.0,86,7,6
02258,02,32.0,73,6,5
02259,02,32.0,77,6,5
02260,02,32.0,94,8,6
02261,02,32.0,68,5,5
02262,02,32.0,19,1,1
02263,02,32.0,19,1,1
02264,02,32.0,120,10,8
02265,02,32.0,22,1,1
02266,02,32.0,10,0,0
02267,02,32.0,41,3,3
02268,02,32.0,122,10,8
02269,02,32.0,30,2,2
02270,02,32.0,10,0,0
02271,02,32.0,27,2,2
02272,02,32.0,13,1,0
02273,02,32.0,44,3,3
02274,02,32.0,36,3,2
02275,02,32.0,43,3,3
02276,02,32.0,22,1,1
02277,02,32.0,50,4,3
02278,02,32.0,5,0,0
02279,02,32.0,85,7,6
02280,02,32.0,58,5,4
02281,02,32.0,22,1,1
02282,02,32.0,54,4,3
02283,02,32.0,41,3,3
02284,02,32.0,3,0,0
02286,02,32.0,166,14,12
02287,02,32.0,208,17,15
02288,02,32.0,55,4,4
02289,02,32.0,70,6,5
02290,02,32.0,533,45,39
02291,02,32.0,79,6,5
02292,02,32.0,235,20,17
02293,02,32.0,104,9,7
02294,02,32.0,41,3,3
02295,02,32.0,167,14,12
02296,02,32.0,241,20,17
02297,02,32.0,21,1,1
02298,02,32.0,282,24,20
02299,02,32.0,92,7,6
02302,02,32.0,32,2,2
02303,02,32.0,125,10,9
02304,02,32.0,605,52,44
02305,02,32.0,622,53,45
02306,02,32.0,85,7,6
02307,02,32.0,417,35,30
02308,02,32.0,90,7,6
02309,02,32.0,133,11,9
02310,02,32.0,46,4,3
02311,02,32.0,22,1,1
02312,02,32.0,214,18,15
02313,02,32.0,90,7,6
02315,02,32.0,329,28,24
02316,02,32.0,27,2,2
02317,02,32.0,42,3,3
02318,02,32.0,276,23,20
02319,02,32.0,78,6,5
02320,02,32.0,46,4,3
02321,02,32.0,163,14,12
02322,02,32.0,75,6,5
02323,02,32.0,24,2,1
02324,02,32.0,22,1,1
02326,02,32.0,95,8,6
02327,02,32.0,35,3,2
02328,02,32.0,99,8,7
02329,02,32.0,84,7,6
02330,02,32.0,66,5,4
02331,02,32.0,23,2,1
02332,02,32.0,38,3,2
02333,02,32.0,29,2,2
02334,02,32.0,567,48,41
02335,02,32.0,12,1,0
02336,02,32.0,177,15,13
02337,02,32.0,34,3,2
02338,02,32.0,49,4,3
02339,02,32.0,124,10,9
02340,02,32.0,1059,91,77
02341,02,32.0,48,4,3
02342,02,32.0,26,2,1
02343,02,32.0,15,1,1
02345,02,32.0,7,0,0
02346,02,32.0,132,11,9
02347,02,32.0,83,7,6
02349,02,32.0,2,0,0
02350,02,32.0,25,2,1
02351,02,32.0,21,1,1
02352,02,32.0,104,9,7
02353,02,32.0,48,4,3
02354,02,32.0,15,1,1
02355,02,32.0,182,15,13
02356,02,32.0,42,3,3
02357,02,32.0,14,1,1
02358,02,32.0,46,3,3
02359,02,32.0,245,21,18
02360,02,32.0,513,44,37
02361,02,32.0,989,85,72
02362,02,32.0,48,4,3
02363,02,32.0,70,6,5
02364,02,32.0,48,4,3
