cim10;init;gpe;charls
F03+22;;dem;dem
F03+3;;dem;dem
F03+30;;dem;dem
F03+31;;dem;dem
F03+32;;dem;dem
F03+4;;dem;dem
F03+40;;dem;dem
F03+41;;dem;dem
F03+42;;dem;dem
F051;;dem;dem
F10;;alcool;
F100;;alcool;
F1000;;alcool;
F1001;;alcool;
F1002;;alcool;
F1003;;alcool;
F1004;;alcool;
F1005;;alcool;
F1006;;alcool;
F1007;;alcool;
F101;;alcool;
F102;;alcool;
F1020;;alcool;
F10200;;alcool;
F10201;;alcool;
F10202;;alcool;
F1021;;alcool;
F1022;;alcool;
F1023;;alcool;
F1024;;alcool;
F10240;;alcool;
F10241;;alcool;
F1025;;alcool;
F1026;;alcool;
F103;;alcool;
F1030;;alcool;
F1031;;alcool;
F104;;alcool;
F1040;;alcool;
F1041;;alcool;
F105;;alcool;
F1050;;alcool;
F1051;;alcool;
F1052;;alcool;
F1053;;alcool;
F1054;;alcool;
F1055;;alcool;
F1056;;alcool;
F106;;alcool;
F107;;alcool;
F1070;;alcool;
F1071;;alcool;
F1072;;alcool;
F1073;;alcool;
F1074;;alcool;
F1075;;alcool;
F108;;alcool;
F109;;alcool;
F17;;smoke;
F170;;smoke;
F1700;;smoke;
F1701;;smoke;
F1702;;smoke;
F1703;;smoke;
F1704;;smoke;
F1705;;smoke;
F1706;;smoke;
F1707;;smoke;
F171;;smoke;
F172;;smoke;
F1720;;smoke;
F17200;;smoke;
F17201;;smoke;
F17202;;smoke;
F1721;;smoke;
F1722;;smoke;
F1723;;smoke;
F1724;;smoke;
F17240;;smoke;
F17241;;smoke;
F1725;;smoke;
F1726;;smoke;
F173;;smoke;
F1730;;smoke;
F1731;;smoke;
F174;;smoke;
F1740;;smoke;
F1741;;smoke;
F175;;smoke;
F1750;;smoke;
F1751;;smoke;
F1752;;smoke;
F1753;;smoke;
F1754;;smoke;
F1755;;smoke;
F1756;;smoke;
F176;;smoke;
F177;;smoke;
F1770;;smoke;
F1771;;smoke;
F1772;;smoke;
F1773;;smoke;
F1774;;smoke;
F1775;;smoke;
F178;;smoke;
F179;;smoke;
G04;;brain_inf;
G040;;brain_inf;
G041;;brain_inf;hemi
G042;;brain_inf;
G048;;brain_inf;
G049;;brain_inf;
G07;;brain_inf;
G114;;hemi;hemi
G30;;dem;dem
G300;;dem;dem
G301;;dem;dem
G308;;dem;dem
G309;;dem;dem
G311;;dem;dem
G312;;alcool;
G40;;convuls;
G400;;convuls;
G401;;convuls;
G402;;convuls;
G403;;convuls;
G404;;convuls;
G405;;convuls;
G406;;convuls;
G407;;convuls;
G408;;convuls;
G409;;convuls;
G41;;convuls;
G410;;convuls;
G411;;convuls;
G412;;convuls;
G418;;convuls;
G419;;convuls;
G45;;is;cvd
G450;;is;cvd
G451;;is;cvd
G452;;is;cvd
G453;;is;cvd
G454;;is;cvd
G458;;is;cvd
G459;;is;cvd
G46;;;cvd
G460;;;cvd
G461;;;cvd
G462;;;cvd
G463;;;cvd
G464;;;cvd
G465;;;cvd
G466;;;cvd
G467;;;cvd
G468;;;cvd
G621;;alcool;
G721;;alcool;
G801;;;hemi
G802;;;hemi
G81;;;hemi
G810;;;hemi
